Interne ID;Kunden-ID;Zentrale;Name;Straße;PLZ;Ort;BL/Region;AD-Außendienst / RFE-Merchandiser;RFE - letzter Besuch;Besuchsintervall in Tagen;RFE-Level;Channel
13;38400;DE EXPERT GERMANY;Expert;Hannoversche Straße 82-88;49084;Osnabrück;NI;Markus Lammer (AD), Tatjana Treppesch (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
18;83809;DE EXPERT GERMANY;expert Pötzsch;Schulstraße 12;1968;Senftenberg;BB;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;Expert
33;M215;DE MSH GERMANY;MediaMarkt;Gewerbepark Cite 7;76532;Baden-Baden;BW;Marcus Beykirch (AD), Markus Lammer (AD), Ronny Gornik (RFE);10.01.2024;42;B;Media Markt
42;S054;DE MSH GERMANY;SATURN;Porschestraße 45;38440;Wolfsburg;NI;Peter Grosse (AD), Markus Lammer (AD), Frank Friedrich (RFE);14.08.2023;42;B;Saturn
48;S001;DE MSH GERMANY;SATURN;Ernst-August-Platz 3;30159;Hannover;NI;Peter Grosse (AD), Markus Lammer (AD), Frank Friedrich (RFE);29.01.2024;21;A;Saturn
49;49300;DE EXPERT GERMANY;HEM expert Satteldorf;Industriestraße 11-13;74589;Satteldorf;BW;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);;;E - nicht besuchen;Expert
58;34000;DE EXPERT GERMANY;expert Westküste;Siemensstraße 34-36;25813;Husum;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
59;42200;DE EXPERT GERMANY;Expert;Justus-Liebig-Straße 1;36100;Petersberg;HE;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
60;M111;DE MSH GERMANY;MediaMarkt;Schneckenburgstraße 2;78467;Konstanz;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);23.10.2023;42;B;Media Markt
62;1209700;DE ELECTRONIC PARTNER GERMANY;MEDIMAX Alzenau;Emmy-Noether-Straße 6;63755;Alzenau in Unterfranken;BY;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;EP
69;205648;DE EURONICS GERMANY;Elsässer - Euronics XXL Stuttgart;Schwertstraße 37-39;71065;Sindelfingen;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;E - nicht besuchen;Euronics
72;S057;DE MSH GERMANY;SATURN;Hermesstraße 4;63263;Neu-Isenburg;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);23.01.2024;90;C;Saturn
73;46400;DE EXPERT GERMANY;HEM expert Singen;Industriestraße 1A;78224;Singen;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);;;D;Expert
74;M098;DE MSH GERMANY;MediaMarkt;Max-Planck-Straße 24;50858;Köln;NW;Tim Flink (AD), Markus Lammer (AD), Hakim Kouji (RFE);16.02.2024;21;A;Media Markt
78;M174;DE MSH GERMANY;MediaMarkt;Erlenring 19;35037;Marburg;HE;Marcus Beykirch (AD), Markus Lammer (AD), Paul Janzen (RFE);16.01.2024;42;B;Media Markt
85;215133;DE EURONICS GERMANY;EURONICS XXL Lauterbach;Umgehungsstraße 45;36341;Lauterbach;HE;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Euronics
90;M259;DE MSH GERMANY;MediaMarkt;Friedrichstädter Straße 54-56;24768;Rendsburg;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);12.12.2023;90;C;Media Markt
93;M309;DE MSH GERMANY;MediaMarkt;Pfalzgraf-Otto-Straße 52-54;74821;Mosbach;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);16.11.2023;90;C;Media Markt
95;S339;DE MSH GERMANY;MediaMarkt;Dänischburger Landstraße 81;23569;Lübeck;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);29.02.2024;42;B;Saturn
98;M161;DE MSH GERMANY;MediaMarkt;Salbker Chaussee 67;39118;Magdeburg;ST;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Benjamin Steffens (RFE);09.08.2023;42;B;Media Markt
99;M031;DE MSH GERMANY;MediaMarkt;Aiterhofener Straße 222;94315;Straubing;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);30.01.2024;42;B;Media Markt
106;20600;DE EXPERT GERMANY;Expert;Braasstraße 1d;31737;Rinteln;NI;Peter Grosse (AD), Markus Lammer (AD), Paul Janzen (RFE);;;E - nicht besuchen;Expert
108;83805;DE EXPERT GERMANY;expert Pötzsch;Brandenburger Straße 2E;3238;Finsterwalde;BB;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);;;E - nicht besuchen;Expert
109;M052;DE MSH GERMANY;MediaMarkt;Weilstraße 227;73733;Esslingen am Neckar;BW;Ertan Kaya (AD), Markus Lammer (AD), Ronny Gornik (RFE);24.01.2024;42;B;Media Markt
110;M030;DE MSH GERMANY;MediaMarkt;Bahnhofstraße 1/1;89231;Neu-Ulm;BY;Ertan Kaya (AD), Markus Lammer (AD), Robin Schürmann (RFE);25.01.2024;42;B;Media Markt
114;36100;DE EXPERT GERMANY;expert Bening Leer;Osseweg 87;26789;Leer (Ostfriesland);NI;Markus Lammer (AD), Tatjana Treppesch (AD), Frank Friedrich (RFE);;;D;Expert
115;56002;DE EXPERT GERMANY;expert Neustadt;Sierksdorfer Straße 26;23730;Neustadt in Holstein;SH;Markus Lammer (AD), Lennart Strauß (AD), Stephanie Wruck (AD), Frank Friedrich (RFE);;;E - nicht besuchen;Expert
120;S077;DE MSH GERMANY;SATURN ZWICKAU;Äußere Schneeberger Straße 95;8056;Zwickau;SN;Marco Kolibius (AD), Markus Lammer (AD), Benjamin Steffens (RFE);05.07.2023;90;C;Saturn
