index,time,in_first_algo,in_second_algo,in_penalty_exp,in_penalty_max,in_penalty_min,in_fixed_app_fraction,thr_num_nodes_to_consider,thr_num_fixed_appointments,thr_n_overnight_trips,thr_total_hours,thr_avg_spread,thr_max_spread,thr_n_work_days,thr_time_limit,out_obj_value,out_num_nodes_cons,out_rel_nodes_cons,out_rel_fixed_app_cons,out_time_taken
1.0,24.06.2024 17:20,BEST_INSERTION,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,213601.0,7.0,0.47,0.5,0.08
1.0,24.06.2024 17:20,BEST_INSERTION,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,210861.0,7.0,0.47,0.5,20.07
1.0,24.06.2024 17:20,PARALLEL_CHEAPEST_INSERTION,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,213601.0,7.0,0.47,0.5,0.08
1.0,24.06.2024 17:20,PARALLEL_CHEAPEST_INSERTION,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,210861.0,7.0,0.47,0.5,20.07
1.0,24.06.2024 17:20,PATH_CHEAPEST_ARC,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,405022.0,8.0,0.53,0.0,0.07
1.0,24.06.2024 17:20,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,210861.0,7.0,0.47,0.5,20.16
1.0,24.06.2024 17:20,SAVINGS,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,214683.0,7.0,0.47,0.5,0.08
1.0,24.06.2024 17:20,SAVINGS,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,4.0,0.0,660.0,52.07,134.38,1.0,30.0,210861.0,7.0,0.47,0.5,20.07
2.0,24.06.2024 17:26,BEST_INSERTION,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112310.0,7.0,0.47,0.67,0.08
2.0,24.06.2024 17:26,BEST_INSERTION,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112126.0,7.0,0.47,0.67,20.07
2.0,24.06.2024 17:26,PARALLEL_CHEAPEST_INSERTION,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112310.0,7.0,0.47,0.67,0.07
2.0,24.06.2024 17:26,PARALLEL_CHEAPEST_INSERTION,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112126.0,7.0,0.47,0.67,20.07
2.0,24.06.2024 17:25,PATH_CHEAPEST_ARC,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112126.0,7.0,0.47,0.67,0.07
2.0,24.06.2024 17:25,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112126.0,7.0,0.47,0.67,20.09
2.0,24.06.2024 17:26,SAVINGS,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,269765.0,8.0,0.53,0.33,0.07
2.0,24.06.2024 17:26,SAVINGS,GUIDED_LOCAL_SEARCH,10.0,100000.0,200.0,0.1,15.0,3.0,0.0,660.0,52.39,132.97,1.0,30.0,112126.0,7.0,0.47,0.67,20.07
3.0,25.06.2024 07:11,BEST_INSERTION,GREEDY_DESCENT,10.0,100000.0,200.0,0.1,15.0,5.0,0.0,660.0,53.6,130.91,1.0,30.0,105792.0,6.0,0.4,0.8,0.08
